,pl_name,hostname,pl_bmasse,pl_orbper,pl_orbsmax,st_mass
65,HAT-P-16 b,HAT-P-16,1341.56043,2.7759712,0.04134,1.218
66,Kepler-21 b,Kepler-21,10.4,2.785755,0.042507,1.34
67,Kepler-21 b,Kepler-21,5.08,2.78578,0.0427172,1.408
68,Kepler-21 b,Kepler-21,7.5,2.7858212,0.0434,1.408
69,HAT-P-5 b,HAT-P-5,324.1866,2.7884736,0.04073,1.157
70,HAT-P-5 b,HAT-P-5,336.89,2.788491,0.04075,1.16
71,55 Cnc e,55 Cnc,7.4687,2.79674,0.0377,0.9
72,HAT-P-37 b,HAT-P-37,371.528,2.797436,0.0379,0.929
73,HAT-P-37 b,HAT-P-37,381.396,2.797436,0.03793,0.929
74,55 Cnc e,55 Cnc,14.30235,2.808,0.038,0.95
75,HAT-P-30 b,HAT-P-30,225.968,2.810595,0.0419,1.242
76,HAT-P-30 b,HAT-P-30,237.10118,2.810595,0.0419,1.242
77,CoRoT-12 b,CoRoT-12,291.438,2.828042,0.04016,1.078
78,CoRoT-12 b,CoRoT-12,290.81445,2.828042,0.04013,1.078
79,CoRoT-12 b,CoRoT-12,281.91521,2.828042,0.0394,1.018
80,CoRoT-12 b,CoRoT-12,277.46559,2.82805268,0.0392,1
81,HAT-P-20 b,HAT-P-20,2294.7326,2.875316938,0.03593,0.742
82,HAT-P-20 b,HAT-P-20,2302.899,2.875317,0.0361,0.756
83,HAT-P-20 b,HAT-P-20,2310.6241,2.8753186,0.03617,0.756
84,HAT-P-3 b,HAT-P-3,189.42668,2.899703,0.03882,0.928
85,HAT-P-3 b,HAT-P-3,190.38017,2.899703,0.03894,0.936
86,HAT-P-3 b,HAT-P-3,187.83,2.899736,0.03866,0.917
87,HAT-P-3 b,HAT-P-3,185.61272,2.899736,0.03842,0.9
88,HAT-P-3 b,HAT-P-3,187.83753,2.899736,0.03871,0.92
89,HAT-P-3 b,HAT-P-3,193.55847,2.899736,0.03899,0.928
90,HAT-P-3 b,HAT-P-3,189.10885,2.89973838,0.03878,0.925
91,HAT-P-13 b,HAT-P-13,285.72917,2.9162383,0.04383,1.32
92,HAT-P-13 b,HAT-P-13,280.64389,2.9162383,0.0427,1.22
93,HAT-P-13 b,HAT-P-13,271.098,2.91626,0.0427,1.22
94,CoRoT-11 b,CoRoT-11,832.7146,2.994325,0.04407,1.27
95,CoRoT-11 b,CoRoT-11,791.3967,2.994325,0.04351,1.23
96,CoRoT-11 b,CoRoT-11,740.51,2.99433,0.0436,1.27
97,CoRoT-11 b,CoRoT-11,743.7222,2.99433,0.044,1.26
98,HAT-P-27 b,HAT-P-27,197.05,3.039577,0.04,0.916
99,HAT-P-27 b,HAT-P-27,195.78328,3.0395824,0.03998,0.92
100,HAT-P-27 b,HAT-P-27,209.759,3.039586,0.0403,0.945
101,HAT-P-4 b,HAT-P-4,208.17865,3.056328,0.0445,1.26
102,HAT-P-4 b,HAT-P-4,216.1244,3.0565195,0.04465,1.271
103,HAT-P-4 b,HAT-P-4,206.90733,3.0565254,0.04449,1.248
